"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1658","Navigation from login page to registration page","LMS system","Thu Mar 12 11:13:58 UTC 2026","passed","Thu Mar 12 11:14:00 UTC 2026","Authorization","Authentication","",""
"","3046","User login with correct email and password","LMS system","Thu Mar 12 11:13:56 UTC 2026","passed","Thu Mar 12 11:13:59 UTC 2026","Authorization","Authentication","",""
"","1615","User login with wrong email or password","LMS system","Thu Mar 12 11:13:56 UTC 2026","passed","Thu Mar 12 11:13:58 UTC 2026","Authorization","Authentication","",""
"","1822","Check displaying of dashboard page","LMS system","Thu Mar 12 11:14:06 UTC 2026","passed","Thu Mar 12 11:14:08 UTC 2026","Dashboard","Dashboard","",""
"","1905","Registration with correct email, username and password","LMS system","Thu Mar 12 11:14:00 UTC 2026","passed","Thu Mar 12 11:14:01 UTC 2026","Registration","Authentication","",""
"","2682","Create course","LMS system","Thu Mar 12 11:14:03 UTC 2026","passed","Thu Mar 12 11:14:06 UTC 2026","Courses","Courses","",""
"","2931","Edit course","LMS system","Thu Mar 12 11:14:04 UTC 2026","passed","Thu Mar 12 11:14:07 UTC 2026","Courses","Courses","",""
"","1684","Check displaying of empty courses list","LMS system","Thu Mar 12 11:14:02 UTC 2026","passed","Thu Mar 12 11:14:03 UTC 2026","Courses","Courses","",""
"","2215","User login with wrong email or password","LMS system","Thu Mar 12 11:13:54 UTC 2026","passed","Thu Mar 12 11:13:56 UTC 2026","Authorization","Authentication","",""
"","2146","User login with wrong email or password","LMS system","Thu Mar 12 11:13:54 UTC 2026","passed","Thu Mar 12 11:13:56 UTC 2026","Authorization","Authentication","",""
