"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2212","User login with wrong email or password","LMS system","Thu Mar 12 11:50:11 UTC 2026","passed","Thu Mar 12 11:50:13 UTC 2026","Authorization","Authentication","",""
"","2332","Create course","LMS system","Thu Mar 12 11:50:20 UTC 2026","passed","Thu Mar 12 11:50:22 UTC 2026","Courses","Courses","",""
"","2768","User login with correct email and password","LMS system","Thu Mar 12 11:50:14 UTC 2026","passed","Thu Mar 12 11:50:16 UTC 2026","Authorization","Authentication","",""
"","1555","User login with wrong email or password","LMS system","Thu Mar 12 11:50:14 UTC 2026","passed","Thu Mar 12 11:50:15 UTC 2026","Authorization","Authentication","",""
"","1609","Registration with correct email, username and password","LMS system","Thu Mar 12 11:50:17 UTC 2026","passed","Thu Mar 12 11:50:18 UTC 2026","Registration","Authentication","",""
"","2279","User login with wrong email or password","LMS system","Thu Mar 12 11:50:11 UTC 2026","passed","Thu Mar 12 11:50:13 UTC 2026","Authorization","Authentication","",""
"","1539","Navigation from login page to registration page","LMS system","Thu Mar 12 11:50:15 UTC 2026","passed","Thu Mar 12 11:50:17 UTC 2026","Authorization","Authentication","",""
"","1718","Check displaying of dashboard page","LMS system","Thu Mar 12 11:50:23 UTC 2026","passed","Thu Mar 12 11:50:24 UTC 2026","Dashboard","Dashboard","",""
"","2595","Edit course","LMS system","Thu Mar 12 11:50:20 UTC 2026","passed","Thu Mar 12 11:50:23 UTC 2026","Courses","Courses","",""
"","1380","Check displaying of empty courses list","LMS system","Thu Mar 12 11:50:19 UTC 2026","passed","Thu Mar 12 11:50:20 UTC 2026","Courses","Courses","",""
