"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1965","Check displaying of dashboard page","LMS system","Mon Mar 09 18:36:37 UTC 2026","passed","Mon Mar 09 18:36:39 UTC 2026","Dashboard","Dashboard","",""
"","1980","User login with wrong email or password","LMS system","Mon Mar 09 18:36:25 UTC 2026","passed","Mon Mar 09 18:36:27 UTC 2026","Authorization","Authentication","",""
"","1906","User login with wrong email or password","LMS system","Mon Mar 09 18:36:25 UTC 2026","passed","Mon Mar 09 18:36:27 UTC 2026","Authorization","Authentication","",""
"","2910","Edit course","LMS system","Mon Mar 09 18:36:35 UTC 2026","passed","Mon Mar 09 18:36:38 UTC 2026","Courses","Courses","",""
"","1823","User login with wrong email or password","LMS system","Mon Mar 09 18:36:28 UTC 2026","passed","Mon Mar 09 18:36:29 UTC 2026","Authorization","Authentication","",""
"","1552","Check displaying of empty courses list","LMS system","Mon Mar 09 18:36:34 UTC 2026","passed","Mon Mar 09 18:36:35 UTC 2026","Courses","Courses","",""
"","2351","Create course","LMS system","Mon Mar 09 18:36:34 UTC 2026","passed","Mon Mar 09 18:36:37 UTC 2026","Courses","Courses","",""
"","3125","User login with correct email and password","LMS system","Mon Mar 09 18:36:28 UTC 2026","passed","Mon Mar 09 18:36:31 UTC 2026","Authorization","Authentication","",""
"","1995","Registration with correct email, username and password","LMS system","Mon Mar 09 18:36:30 UTC 2026","passed","Mon Mar 09 18:36:32 UTC 2026","Registration","Authentication","",""
"","1585","Navigation from login page to registration page","LMS system","Mon Mar 09 18:36:31 UTC 2026","passed","Mon Mar 09 18:36:33 UTC 2026","Authorization","Authentication","",""
