"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2922","Edit course","LMS system","Thu Mar 12 10:22:45 UTC 2026","passed","Thu Mar 12 10:22:48 UTC 2026","Courses","Courses","",""
"","2215","User login with wrong email or password","LMS system","Thu Mar 12 10:22:35 UTC 2026","passed","Thu Mar 12 10:22:37 UTC 2026","Authorization","Authentication","",""
"","3192","User login with correct email and password","LMS system","Thu Mar 12 10:22:38 UTC 2026","passed","Thu Mar 12 10:22:41 UTC 2026","Authorization","Authentication","",""
"","2239","User login with wrong email or password","LMS system","Thu Mar 12 10:22:35 UTC 2026","passed","Thu Mar 12 10:22:37 UTC 2026","Authorization","Authentication","",""
"","1762","User login with wrong email or password","LMS system","Thu Mar 12 10:22:38 UTC 2026","passed","Thu Mar 12 10:22:39 UTC 2026","Authorization","Authentication","",""
"","2696","Create course","LMS system","Thu Mar 12 10:22:45 UTC 2026","passed","Thu Mar 12 10:22:48 UTC 2026","Courses","Courses","",""
"","1625","Navigation from login page to registration page","LMS system","Thu Mar 12 10:22:40 UTC 2026","passed","Thu Mar 12 10:22:41 UTC 2026","Authorization","Authentication","",""
"","1711","Check displaying of empty courses list","LMS system","Thu Mar 12 10:22:43 UTC 2026","passed","Thu Mar 12 10:22:45 UTC 2026","Courses","Courses","",""
"","1889","Registration with correct email, username and password","LMS system","Thu Mar 12 10:22:41 UTC 2026","passed","Thu Mar 12 10:22:43 UTC 2026","Registration","Authentication","",""
"","1747","Check displaying of dashboard page","LMS system","Thu Mar 12 10:22:48 UTC 2026","passed","Thu Mar 12 10:22:50 UTC 2026","Dashboard","Dashboard","",""
