"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2156","User login with wrong email or password","LMS system","Thu Mar 12 13:16:05 UTC 2026","passed","Thu Mar 12 13:16:07 UTC 2026","Authorization","Authentication","",""
"","2875","Edit course","LMS system","Thu Mar 12 13:16:15 UTC 2026","passed","Thu Mar 12 13:16:18 UTC 2026","Courses","Courses","",""
"","2816","Create course","LMS system","Thu Mar 12 13:16:15 UTC 2026","passed","Thu Mar 12 13:16:18 UTC 2026","Courses","Courses","",""
"","1800","Check displaying of dashboard page","LMS system","Thu Mar 12 13:16:18 UTC 2026","passed","Thu Mar 12 13:16:20 UTC 2026","Dashboard","Dashboard","",""
"","1686","Check displaying of empty courses list","LMS system","Thu Mar 12 13:16:13 UTC 2026","passed","Thu Mar 12 13:16:15 UTC 2026","Courses","Courses","",""
"","2209","User login with wrong email or password","LMS system","Thu Mar 12 13:16:05 UTC 2026","passed","Thu Mar 12 13:16:07 UTC 2026","Authorization","Authentication","",""
"","1714","Navigation from login page to registration page","LMS system","Thu Mar 12 13:16:10 UTC 2026","passed","Thu Mar 12 13:16:11 UTC 2026","Authorization","Authentication","",""
"","1812","User login with wrong email or password","LMS system","Thu Mar 12 13:16:07 UTC 2026","passed","Thu Mar 12 13:16:09 UTC 2026","Authorization","Authentication","",""
"","1954","Registration with correct email, username and password","LMS system","Thu Mar 12 13:16:11 UTC 2026","passed","Thu Mar 12 13:16:13 UTC 2026","Registration","Authentication","",""
"","3302","User login with correct email and password","LMS system","Thu Mar 12 13:16:08 UTC 2026","passed","Thu Mar 12 13:16:11 UTC 2026","Authorization","Authentication","",""
