"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1922","User login with wrong email or password","LMS system","Thu Mar 12 10:58:24 UTC 2026","passed","Thu Mar 12 10:58:26 UTC 2026","Authorization","Authentication","",""
"","1671","Navigation from login page to registration page","LMS system","Thu Mar 12 10:58:28 UTC 2026","passed","Thu Mar 12 10:58:30 UTC 2026","Authorization","Authentication","",""
"","2912","Edit course","LMS system","Thu Mar 12 10:58:34 UTC 2026","passed","Thu Mar 12 10:58:36 UTC 2026","Courses","Courses","",""
"","1603","Check displaying of empty courses list","LMS system","Thu Mar 12 10:58:32 UTC 2026","passed","Thu Mar 12 10:58:33 UTC 2026","Courses","Courses","",""
"","1838","Check displaying of dashboard page","LMS system","Thu Mar 12 10:58:36 UTC 2026","passed","Thu Mar 12 10:58:38 UTC 2026","Dashboard","Dashboard","",""
"","2562","Create course","LMS system","Thu Mar 12 10:58:33 UTC 2026","passed","Thu Mar 12 10:58:36 UTC 2026","Courses","Courses","",""
"","1869","Registration with correct email, username and password","LMS system","Thu Mar 12 10:58:29 UTC 2026","passed","Thu Mar 12 10:58:31 UTC 2026","Registration","Authentication","",""
"","1891","User login with wrong email or password","LMS system","Thu Mar 12 10:58:24 UTC 2026","passed","Thu Mar 12 10:58:25 UTC 2026","Authorization","Authentication","",""
"","1735","User login with wrong email or password","LMS system","Thu Mar 12 10:58:26 UTC 2026","passed","Thu Mar 12 10:58:28 UTC 2026","Authorization","Authentication","",""
"","3159","User login with correct email and password","LMS system","Thu Mar 12 10:58:26 UTC 2026","passed","Thu Mar 12 10:58:29 UTC 2026","Authorization","Authentication","",""
