"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1734","User login with wrong email or password","LMS system","Mon Mar 09 13:52:35 UTC 2026","passed","Mon Mar 09 13:52:37 UTC 2026","Authorization","Authentication","",""
"","2474","Create course","LMS system","Mon Mar 09 13:52:42 UTC 2026","passed","Mon Mar 09 13:52:44 UTC 2026","Courses","Courses","",""
"","3040","User login with correct email and password","LMS system","Mon Mar 09 13:52:35 UTC 2026","passed","Mon Mar 09 13:52:38 UTC 2026","Authorization","Authentication","",""
"","2632","Edit course","LMS system","Mon Mar 09 13:52:42 UTC 2026","passed","Mon Mar 09 13:52:45 UTC 2026","Courses","Courses","",""
"","2018","User login with wrong email or password","LMS system","Mon Mar 09 13:52:33 UTC 2026","passed","Mon Mar 09 13:52:35 UTC 2026","Authorization","Authentication","",""
"","1981","User login with wrong email or password","LMS system","Mon Mar 09 13:52:33 UTC 2026","passed","Mon Mar 09 13:52:35 UTC 2026","Authorization","Authentication","",""
"","1939","Registration with correct email, username and password","LMS system","Mon Mar 09 13:52:37 UTC 2026","passed","Mon Mar 09 13:52:39 UTC 2026","Registration","Authentication","",""
"","1803","Check displaying of dashboard page","LMS system","Mon Mar 09 13:52:44 UTC 2026","passed","Mon Mar 09 13:52:46 UTC 2026","Dashboard","Dashboard","",""
"","1635","Navigation from login page to registration page","LMS system","Mon Mar 09 13:52:38 UTC 2026","passed","Mon Mar 09 13:52:40 UTC 2026","Authorization","Authentication","",""
"","1477","Check displaying of empty courses list","LMS system","Mon Mar 09 13:52:41 UTC 2026","passed","Mon Mar 09 13:52:42 UTC 2026","Courses","Courses","",""
