"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1662","User login with wrong email or password","LMS system","Wed Mar 11 16:09:44 UTC 2026","passed","Wed Mar 11 16:09:46 UTC 2026","Authorization","Authentication","",""
"","2116","User login with wrong email or password","LMS system","Wed Mar 11 16:09:42 UTC 2026","passed","Wed Mar 11 16:09:44 UTC 2026","Authorization","Authentication","",""
"","2872","Edit course","LMS system","Wed Mar 11 16:09:52 UTC 2026","passed","Wed Mar 11 16:09:55 UTC 2026","Courses","Courses","",""
"","2017","User login with wrong email or password","LMS system","Wed Mar 11 16:09:42 UTC 2026","passed","Wed Mar 11 16:09:44 UTC 2026","Authorization","Authentication","",""
"","1615","Check displaying of empty courses list","LMS system","Wed Mar 11 16:09:50 UTC 2026","passed","Wed Mar 11 16:09:51 UTC 2026","Courses","Courses","",""
"","1823","Registration with correct email, username and password","LMS system","Wed Mar 11 16:09:48 UTC 2026","passed","Wed Mar 11 16:09:49 UTC 2026","Registration","Authentication","",""
"","1836","Check displaying of dashboard page","LMS system","Wed Mar 11 16:09:54 UTC 2026","passed","Wed Mar 11 16:09:56 UTC 2026","Dashboard","Dashboard","",""
"","2565","Create course","LMS system","Wed Mar 11 16:09:51 UTC 2026","passed","Wed Mar 11 16:09:54 UTC 2026","Courses","Courses","",""
"","1695","Navigation from login page to registration page","LMS system","Wed Mar 11 16:09:46 UTC 2026","passed","Wed Mar 11 16:09:48 UTC 2026","Authorization","Authentication","",""
"","3085","User login with correct email and password","LMS system","Wed Mar 11 16:09:44 UTC 2026","passed","Wed Mar 11 16:09:47 UTC 2026","Authorization","Authentication","",""
